round_epochs,val_loss,val_acc,loss,acc,activation,batch_size,epochs,losses
100,0.48360743253461774,0.9677419239474881,0.4716555180568849,0.9919354843516504,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,17,100,binary_crossentropy
150,0.07389999325236966,0.9677419239474881,0.06896589588253729,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,17,150,logcosh
150,0.5323690099100913,0.9354838613540896,0.47007757665649536,0.9919354843516504,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,17,150,binary_crossentropy
40,0.07302366677791841,0.9677419374066014,0.07320730304045062,0.9838709600510136,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,18,40,logcosh
40,0.49908335554984307,0.9677419374066014,0.4885637298707039,0.9919354800255068,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,18,40,binary_crossentropy
80,0.0717873152705931,1.0,0.07285464723264018,0.9596774126252821,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,18,80,logcosh
80,0.5154941524228742,0.9677419374066014,0.4848409468127835,0.9919354800255068,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,18,80,binary_crossentropy
100,0.07228246763829262,0.9677419374066014,0.06875242040522637,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,18,100,logcosh
100,0.48920043822257747,0.9677419374066014,0.47176065992924476,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,18,100,binary_crossentropy
150,0.07378146484974892,0.9354838575086286,0.06837604182862467,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,18,150,logcosh
150,0.5068530921013125,0.9677419374066014,0.46085583731051416,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,18,150,binary_crossentropy
40,0.07578434170253816,1.0,0.07539813424791059,0.9838709653385224,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,19,40,logcosh
40,0.5200069239062648,0.9677419489429843,0.48813420101519556,0.9838709653385224,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,19,40,binary_crossentropy
80,0.07326092426815341,0.9677419431747929,0.07205331956426944,0.9677419345225057,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,19,80,logcosh
80,0.5017829489323401,0.9677419431747929,0.48292579333628377,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,19,80,binary_crossentropy
100,0.07186039152645296,0.9677419431747929,0.06984242664710168,0.9919354872357461,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,19,100,logcosh
100,0.49677913419661984,0.9677419431747929,0.47600449213097173,0.9919354872357461,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,19,100,binary_crossentropy
150,0.0743688662205973,0.9354838921177772,0.06747815229239003,1.0,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,19,150,logcosh
150,0.4850893703199202,1.0,0.47022157811349435,0.9838709687033007,<keras.layers.advanced_activations.ReLU object at 0x7fc86b1784a8>,19,150,binary_crossentropy
40,0.07419752065212495,1.0,0.07991610287177947,0.9274193471477877,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,10,40,logcosh
40,0.4935177968394372,1.0,0.510721315299311,0.9516128984189802,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,10,40,binary_crossentropy
80,0.07454119238161272,1.0,0.07323372508248975,0.9596774145480125,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,10,80,logcosh
80,0.4874098435524971,0.9677419277929491,0.5002076279732489,0.9354838700063767,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,10,80,binary_crossentropy
100,0.07298947101639162,0.9677419277929491,0.07295779967981,0.9758064458447118,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,10,100,logcosh
100,0.47938160069527164,0.9677419277929491,0.4668294032735209,0.9919354819482372,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,10,100,binary_crossentropy
150,0.06943251913593661,1.0,0.06638009689988629,1.0,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,10,150,logcosh
150,0.4782894465231126,0.9677419277929491,0.45966761439077314,0.9838709638964745,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,10,150,binary_crossentropy
40,0.08867030927250462,0.9032258199107263,0.07606409658347407,0.9596774260843953,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,11,40,logcosh
40,0.50624658311567,0.9677419450975233,0.5070544969170324,0.9516129051485369,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,11,40,binary_crossentropy
80,0.07158281726221885,1.0,0.07357417437578401,0.9758064588231425,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,11,80,logcosh
80,0.4770209664298642,1.0,0.491187856562676,0.9677419398100146,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,11,80,binary_crossentropy
100,0.07104837990576221,0.9677419450975233,0.07325955348149422,0.9677419431747929,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,11,100,logcosh
100,0.4783161849744858,1.0,0.4814548038186566,0.9758064588231425,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,11,100,binary_crossentropy
150,0.07016502633210152,1.0,0.06881061412634389,0.9838709672612529,<keras.layers.advanced_activations.ELU object at 0x7fc86b178518>,11,150,logcosh
